date,side,position,player,team,result,firstbloodkill,firstbloodvictim,firstdragon,infernals,mountains,clouds,oceans,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,dpm,damageshare,wpm,wcpm,earned_gpm,cspm,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,damagetakenperminute,damagemitigatedperminute,kd,apm,mkoj_pm,mkej_pm,dragonsdiff,elementaldrakesdiff,eldersdiff,heraldsdiff,baronsdiff,towersdiff,inhibitorsdiff
4/9/2018 16:47,0,mid,Klaabu,Team Forge,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.5795,0.26619299999999996,0.6007,0.3337,226.0845,10.177999999999999,4905.0,100.0,120.0,138.0,7.0,7411.0,154.0,-237.0,-573.0,-3.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 16:47,0,bot,Endz,Team Forge,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.3826,0.268588,0.267,0.2002,247.9755,10.3115,2857.0,84.0,-189.0,-384.0,-4.0,4711.0,141.0,-138.0,-607.0,-3.0,0.0,0.0,0.25,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4/9/2018 16:47,0,sup,Efias,Team Forge,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.5795,0.138043,1.4683,0.3337,103.5818,2.5028,3111.0,17.0,-22.0,551.0,2.0,4715.0,35.0,260.0,917.0,13.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 16:47,1,top,Flaxxish,Movistar Riders,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.6808,0.143528,0.5673,0.1335,307.20799999999997,9.4105,4577.0,85.0,175.0,226.0,8.0,6748.0,135.0,357.0,-8.0,18.0,0.0,0.0,3.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4/9/2018 16:47,1,jng,bluerzor,Movistar Riders,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.6574,0.148085,1.2347,0.267,254.3159,5.9399,3235.0,62.0,69.0,360.0,12.0,5670.0,98.0,616.0,866.0,21.0,0.0,0.0,3.0,0.2,2.64,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 16:47,1,mid,MagiFelix,Movistar Riders,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.5662,0.28919,0.4672,0.2002,333.1368,9.8776,4767.0,93.0,-120.0,-138.0,-7.0,7984.0,157.0,237.0,573.0,3.0,0.0,0.0,3.0,0.3,0.4,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 16:47,1,bot,Jeskla,Movistar Riders,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.2836,0.358099,0.5006,0.267,371.1457,11.1791,3241.0,88.0,189.0,384.0,4.0,5318.0,144.0,138.0,607.0,3.0,0.0,0.0,3.0,0.27,0.63,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4/9/2018 16:47,1,sup,Klaj,Movistar Riders,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.3337,0.061097900000000004,1.4683,0.4004,181.0011,1.7019,2560.0,15.0,22.0,-551.0,-2.0,3798.0,22.0,-260.0,-917.0,-13.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 16:47,0,team,0,Team Forge,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1170.5006,0.0,3.4372,1.3014,859.5217,35.1724,18099.0,328.0,-335.0,-281.0,-15.0,28397.0,524.0,-1088.0,-1121.0,-32.0,0.0,0.0,0.0714,0.07,2.97,0.27,-4.0,-4.0,0.0,-1.0,-2.0,-10.0,-3.0
4/9/2018 16:47,1,team,0,Movistar Riders,1,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1969.5217,0.0,4.238,1.2681,1446.8743,38.109,18380.0,343.0,335.0,281.0,15.0,29518.0,556.0,1088.0,1121.0,32.0,0.0,0.0,14.0,1.2,3.67,1.67,4.0,4.0,0.0,1.0,2.0,10.0,3.0
