r_top_pred,r_jng_pred,r_mid_pred,r_bot_pred,r_sup_pred,b_top_pred,b_jng_pred,b_mid_pred,b_bot_pred,b_sup_pred,res
0.2589237093925476,0.5043734312057495,0.46896493434906006,0.263403058052063,0.36822187900543213,0.7410762906074524,0.4956265389919281,0.5310350656509399,0.736596941947937,0.6317781209945679,Red
0.47226572036743164,0.5534380078315735,0.3482697010040283,0.5099385976791382,0.4851396083831787,0.5277342796325684,0.4465619921684265,0.6517302989959717,0.49006137251853943,0.5148603916168213,Red
0.4868895411491394,0.4733617305755615,0.4097924828529358,0.6220420002937317,0.5721181631088257,0.5131104588508606,0.5266382694244385,0.5902075171470642,0.3779579997062683,0.4278818666934967,Blue
0.5606386661529541,0.4705401062965393,0.60753333568573,0.3767009377479553,0.35575246810913086,0.4393613636493683,0.5294598937034607,0.39246663451194763,0.6232990622520447,0.6442475318908691,Red
0.4464499354362488,0.4924612045288086,0.4951521158218384,0.6587423086166382,0.7426843643188477,0.5535500645637512,0.5075387954711914,0.5048478841781616,0.34125766158103943,0.25731563568115234,Red
0.23836380243301392,0.498149037361145,0.6338653564453125,0.552951455116272,0.596440851688385,0.7616361975669861,0.501850962638855,0.3661346435546875,0.4470485746860504,0.403559148311615,Red
0.3823702335357666,0.704124927520752,0.7744434475898743,0.497488796710968,0.4901513457298279,0.6176297664642334,0.29587504267692566,0.22555653750896454,0.502511203289032,0.5098486542701721,Blue
0.3038741946220398,0.398855984210968,0.439880907535553,0.5181969404220581,0.3607388734817505,0.6961258053779602,0.601144015789032,0.560119092464447,0.4818030893802643,0.6392611265182495,Red
0.5648385882377625,0.48035311698913574,0.6152676939964294,0.43757718801498413,0.30846351385116577,0.43516141176223755,0.5196468830108643,0.38473230600357056,0.5624228119850159,0.6915364861488342,Blue
0.2856143116950989,0.46098124980926514,0.547774076461792,0.30355143547058105,0.2681981921195984,0.7143856883049011,0.5390187501907349,0.452225923538208,0.696448564529419,0.7318018078804016,Blue
0.4085772633552551,0.4429752230644226,0.3690407872200012,0.3695640563964844,0.49509596824645996,0.5914227366447449,0.5570247769355774,0.6309592127799988,0.6304359436035156,0.50490403175354,Blue
0.5419274568557739,0.29597342014312744,0.21843624114990234,0.27378159761428833,0.35053396224975586,0.4580725133419037,0.7040265798568726,0.7815637588500977,0.7262184023857117,0.6494660377502441,Red
0.5910763740539551,0.5342096090316772,0.4541035294532776,0.2942015528678894,0.379367470741272,0.40892359614372253,0.46579039096832275,0.5458964705467224,0.7057984471321106,0.620632529258728,Blue
0.5569227337837219,0.4552428722381592,0.3264583945274353,0.5501644611358643,0.555998682975769,0.4430772662162781,0.5447571277618408,0.6735416054725647,0.44983550906181335,0.44400134682655334,Red
0.42638617753982544,0.33342307806015015,0.4185999631881714,0.3708086609840393,0.6116189956665039,0.5736138224601746,0.6665769219398499,0.5814000368118286,0.6291913390159607,0.3883810341358185,Blue
0.4965164065361023,0.43058788776397705,0.4638347625732422,0.4639620780944824,0.4440131187438965,0.5034835934638977,0.569412112236023,0.5361652374267578,0.5360379219055176,0.5559868812561035,Blue
0.3208661675453186,0.4730982184410095,0.5324976444244385,0.4169265627861023,0.4253801703453064,0.6791338324546814,0.5269017815589905,0.4675023555755615,0.5830734372138977,0.5746198296546936,Red
0.4372454285621643,0.5015217065811157,0.7302744388580322,0.537278413772583,0.38883692026138306,0.5627545714378357,0.4984782934188843,0.26972559094429016,0.4627216160297394,0.6111630797386169,Red
0.39641809463500977,0.350991427898407,0.6796518564224243,0.6081859469413757,0.33851373195648193,0.6035819053649902,0.649008572101593,0.3203481435775757,0.39181405305862427,0.6614862680435181,Red
0.42451393604278564,0.4144114851951599,0.42598778009414673,0.31471312046051025,0.5010452270507812,0.5754860639572144,0.5855885148048401,0.5740122199058533,0.6852868795394897,0.49895480275154114,Red
0.3957720994949341,0.5174388289451599,0.3671419620513916,0.15966659784317017,0.2397112250328064,0.6042279005050659,0.4825611710548401,0.6328580379486084,0.8403334021568298,0.7602887749671936,Red
0.5275406837463379,0.2971859574317932,0.28048521280288696,0.28307676315307617,0.5392522215843201,0.4724593162536621,0.7028140425682068,0.719514787197113,0.7169232368469238,0.46074777841567993,Red
0.4884464740753174,0.33214837312698364,0.27413827180862427,0.28130507469177246,0.5507954359054565,0.5115535259246826,0.6678516268730164,0.7258617281913757,0.7186949253082275,0.44920453429222107,Red
0.20691794157028198,0.42463576793670654,0.5525791645050049,0.6370120048522949,0.4674862027168274,0.793082058429718,0.5753642320632935,0.4474208652973175,0.36298802495002747,0.5325137972831726,Red
0.4613443613052368,0.3243412971496582,0.380672812461853,0.24203920364379883,0.5507526993751526,0.5386556386947632,0.6756587028503418,0.619327187538147,0.7579607963562012,0.4492473006248474,Blue
0.24374425411224365,0.4631626009941101,0.5091755390167236,0.37715041637420654,0.5393778085708618,0.7562557458877563,0.5368373990058899,0.49082446098327637,0.6228495836257935,0.4606221914291382,Blue
0.5206472873687744,0.5130265951156616,0.49240511655807495,0.6245224475860596,0.5261527299880981,0.479352742433548,0.4869734048843384,0.507594883441925,0.37547752261161804,0.47384729981422424,Blue
0.24428313970565796,0.5348347425460815,0.2894858121871948,0.4213067889213562,0.35361146926879883,0.755716860294342,0.46516525745391846,0.7105141878128052,0.5786932110786438,0.6463885307312012,Blue
0.38998621702194214,0.3269607424736023,0.43144774436950684,0.14787274599075317,0.3592687249183655,0.6100137829780579,0.6730392575263977,0.5685522556304932,0.8521272540092468,0.6407312750816345,Blue
0.38750821352005005,0.5080879330635071,0.6991583108901978,0.5341726541519165,0.5840455293655396,0.61249178647995,0.4919120669364929,0.30084168910980225,0.4658273756504059,0.41595447063446045,Red
