player,firstbloodkill,firstbloodvictim,dpm,damageshare,wpm,wcpm,earned_gpm,cspm,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,kd,apm,mkoj_pm,mkej_pm
Lindarang,2.3328544741038735e-10,0.18799975515867298,383.22668654810815,0.22531603193565586,0.6089050086230292,0.1581356272874314,220.8667188948713,7.351841622968065,4422.755753720926,76.04137081495458,-391.53596934142956,-310.583974049792,-13.188422990870905,6833.936561918158,122.05308928082667,-497.3383388455999,-500.2924389062627,-13.37119825294323,0.6736237295232139,0.045293398994284716,0.09853727273657056,0.0009165961307541792
SeongHwan,0.5002977850381294,0.0019532465378235856,159.06123571605167,0.13556329495622912,0.6018240843558803,0.4417273127083533,165.24350695750286,5.0785651210233835,3599.1105496842138,63.7111790876331,97.05110709728015,-3.836782338558031,-1.6265801795966506,5558.577593208128,96.77943184500852,-26.930898007894427,-174.0387292241987,3.110413679910069,0.6451435998041631,0.06317966962169806,3.2431433779733165,0.11863926748346204
Mickey,8.225440979031662e-06,0.0312502384477701,478.411713800695,0.2445025050649933,0.35273820526287925,0.31667107146503026,206.7861247103706,7.575152634059791,3996.7789355876766,65.66325204036397,-452.93969590919994,-506.00308987597964,-12.771205994061972,6276.280894929402,104.42330846920166,-1012.787864551964,-675.2536899717943,-18.384602495516635,0.5744423665862243,0.1611111817368424,0.33652663270259525,0.003953188412604521
Sangyoon,6.105005832424126e-05,3.623962402476977e-05,566.4096046148338,0.3233520443309874,0.3954967469556294,0.3153744970786173,262.88178238007333,9.273655390901139,3093.380167194076,86.85338965184836,129.6975551699214,-172.72484278421825,39.59790020108579,5176.3043895697365,131.82621947056444,287.72839241994274,-98.85476322326599,54.274072141740525,0.9870073828746746,0.07314610188288907,0.7310432477535931,0.006276290662354878
Key,0.0019531259313514404,0.09793090820682004,167.25092130678593,0.0776530971550398,1.6562014093262498,0.33770411512165477,116.74428962749928,0.9593554700839044,2698.920594306485,10.057083848229636,131.7606864548782,255.80659082287502,-1.5084961606650742,3880.314410961629,15.510961501505035,-107.92410818347932,84.35408486039424,-5.861410906759443,0.5405570176885826,0.2686369004459941,1.983659312827513e-06,2.7284841054511334e-14
Smeb,0.003906250014608759,0.00024462130795744816,426.2248871916015,0.23103796160895174,0.638993028940351,0.22100835114132417,207.5381150269518,6.545663671272845,4043.4097462904165,60.99417913263454,-9.168663575318647,-460.85381525663246,-14.93878134067845,6612.69374720809,107.49862564460828,588.7415450652542,-432.96036786534376,-13.594358990363162,0.9664190455788366,0.08458595330030529,0.1553800327696264,0.02516603819962487
Score,0.5005545617316618,0.0039520268346678045,196.43753859767122,0.1147693040770178,0.9503911742444655,0.31353759128674996,165.8909928208608,4.05100431391476,3294.23441095913,53.3201147870828,123.1595943313614,41.682374027421375,-5.0361928028163945,5108.165663696343,78.37082741032349,-118.54966123477953,-248.45704581616548,-14.05858519111953,0.7086517174231207,0.22332114457254099,2.2514924228859523,0.04719866199617975
PawN,0.03321841359229452,0.500000604428692,531.0311171850631,0.3236063369706462,0.5623906041351039,0.4176842282357164,288.15705403345646,9.180050712683475,4785.469293338243,87.15570499543136,111.98662836891182,-23.742096041032823,-5.83516571261078,7681.677318857019,142.13913816662455,237.85555442660325,21.2089825217654,-7.285323422454804,2.0138237745824443,0.14786964595235297,0.6561221192687353,0.09033998488958675
Deft,0.003906371073307387,0.12500000005820766,380.1055277135971,0.21150948345231307,0.47419975646169277,0.4069250814290623,306.81231461006143,10.009659001266364,3184.8353489947503,88.49637902055842,-173.26357877349102,-61.693894460584886,-0.6283735497187788,5328.045504935065,135.57036986974623,-217.34124495814103,105.68786365836934,-0.4219727956489532,3.1911867105189096,0.1147680497697951,0.6454665772432363,0.07756629726130648
Mata,9.686991777613306e-07,0.0009784735884751095,129.79581593325605,0.08201846524809026,2.086104770339647,0.33532858429995727,113.51087667738358,1.636784593612681,2915.094001875313,13.100406298398951,21.031328686395184,85.71563291354272,1.0660593024115679,4144.3717429337285,23.987886205268815,141.48817631015527,14.955518844845919,-0.8328517052314224,0.4116817242677847,0.1320411221647361,7.275957614183426e-13,6.556510925292969e-09
Expession,0.007812500076397555,0.6269727982580662,502.1923324049195,0.2628407604367411,0.42845423870018756,0.05628943103293484,249.13741540166245,9.341074599945914,4806.3069733178345,85.03078233150268,212.79965574165533,152.62245191950228,8.569993944102066,7049.111310916931,129.90054964145622,-203.62826904207066,-334.4633247542454,5.022322547441945,0.474799303900247,0.11012702430868446,0.14531673101265824,0.36533517657739134
Crash,0.3481473998417641,0.000976800919033849,246.2148000847756,0.14002784975537097,0.8931093052912129,0.3578709756948669,193.30592290541847,4.859879993035433,3242.4561281409615,39.92201262648507,-114.3062373955405,-393.3867152969656,-14.232904282942968,5745.40657877146,72.31983290881624,-658.1161348822204,-464.0543236588255,-7.37514946055046,0.8454456099711258,0.12496220889237862,2.4524219185358653,1.1141279720900208
Fly,0.15674210339784977,0.011718750000000007,411.13260663672804,0.22786239149339166,0.46649503272421666,0.09791368132848288,227.59650536282152,7.940110314180755,4827.181341015627,82.13426689721601,-344.26976889756503,-195.73927341118494,-16.526928962820627,7746.448987576864,135.0312615683621,-743.215686935772,-53.485986823821094,-14.325996335880117,2.013754327910501,0.18123176252690043,0.46541916070709444,0.08823586205504245
