r_top_pred,r_jng_pred,r_mid_pred,r_bot_pred,r_sup_pred,obj_pred,b_top_pred,b_jng_pred,b_mid_pred,b_bot_pred,b_sup_pred,res
0.2015201449394226,0.28256046772003174,0.5933762788772583,0.6825042963027954,0.41581636667251587,Red,0.7984798550605774,0.7174395322799683,0.4066236913204193,0.3174956738948822,0.5841836333274841,Blue
0.3134492039680481,0.6433571577072144,0.6103460788726807,0.776100754737854,0.36875295639038086,Blue,0.6865507960319519,0.35664284229278564,0.38965389132499695,0.223899245262146,0.6312470436096191,Blue
0.3612136244773865,0.6080944538116455,0.5353693962097168,0.24408328533172607,0.36875295639038086,Red,0.6387863755226135,0.3919055461883545,0.4646306335926056,0.7559167146682739,0.6312470436096191,Red
0.3903324604034424,0.42944103479385376,0.50550377368927,0.40715497732162476,0.5606786012649536,Blue,0.6096675395965576,0.5705589652061462,0.4944961965084076,0.5928450226783752,0.4393214285373688,Blue
0.4926914572715759,0.7030632495880127,0.5562648177146912,0.4415297508239746,0.520087718963623,Red,0.5073085427284241,0.2969367504119873,0.44373518228530884,0.5584702491760254,0.47991225123405457,Red
0.4583394527435303,0.4589778184890747,0.3797200322151184,0.4703296422958374,0.35092103481292725,Red,0.5416605472564697,0.5410221815109253,0.6202799677848816,0.5296703577041626,0.6490789651870728,Red
0.40859299898147583,0.6496452689170837,0.674697995185852,0.7891495823860168,0.4966067671775818,Red,0.5914070010185242,0.35035473108291626,0.32530197501182556,0.21085040271282196,0.5033932328224182,Red
0.6057167053222656,0.48528772592544556,0.5624336004257202,0.6547578573226929,0.5453087091445923,Red,0.3942832946777344,0.5147122740745544,0.4375663995742798,0.34524211287498474,0.4546912908554077,Blue
0.6849451065063477,0.3203117251396179,0.36943233013153076,0.6892514228820801,0.5901401042938232,Blue,0.31505486369132996,0.6796882748603821,0.6305676698684692,0.3107486069202423,0.40985992550849915,Blue
0.6623722314834595,0.2969135046005249,0.32306647300720215,0.5145343542098999,0.47983717918395996,Blue,0.3376277685165405,0.7030864953994751,0.6769335269927979,0.4854656755924225,0.52016282081604,Blue
0.3139980435371399,0.2792131304740906,0.7123010158538818,0.3225255012512207,0.5931994915008545,Red,0.6860019564628601,0.7207868695259094,0.28769901394844055,0.6774744987487793,0.4068004786968231,Blue
0.5447850227355957,0.4941786527633667,0.45453721284866333,0.566464900970459,0.4024266004562378,Red,0.4552149474620819,0.5058213472366333,0.5454627871513367,0.4335351288318634,0.5975733995437622,Blue
0.6202799081802368,0.6377283334732056,0.48664045333862305,0.5953518152236938,0.6029926538467407,Red,0.3797200918197632,0.36227166652679443,0.513359546661377,0.40464815497398376,0.3970073461532593,Red
0.5944215059280396,0.5662544965744019,0.580031156539917,0.6325198411941528,0.420587956905365,Red,0.40557852387428284,0.43374547362327576,0.4199688732624054,0.36748018860816956,0.579412043094635,Blue
0.22328883409500122,0.5281509160995483,0.35638970136642456,0.21033591032028198,0.4563513994216919,Red,0.7767111659049988,0.47184911370277405,0.6436102986335754,0.789664089679718,0.5436486005783081,Red
0.3517349362373352,0.6144578456878662,0.37190181016921997,0.7134587168693542,0.5214745998382568,Blue,0.6482650637626648,0.3855421543121338,0.62809818983078,0.28654128313064575,0.47852542996406555,Blue
0.7573482394218445,0.5780086517333984,0.5191022157669067,0.2545120120048523,0.3381887674331665,Red,0.2426517754793167,0.42199137806892395,0.48089778423309326,0.7454879879951477,0.6618112325668335,Red
0.5055492520332336,0.3983916640281677,0.24798285961151123,0.37516462802886963,0.5623710751533508,Red,0.49445074796676636,0.6016083359718323,0.7520171403884888,0.6248353719711304,0.43762892484664917,Red
0.212679922580719,0.22303539514541626,0.6411278247833252,0.5246259570121765,0.5091429352760315,Blue,0.787320077419281,0.7769646048545837,0.3588721752166748,0.4753740429878235,0.4908570647239685,Red
0.4166536331176758,0.4349977374076843,0.40777838230133057,0.49557220935821533,0.610375165939331,Red,0.5833463668823242,0.5650022625923157,0.5922216176986694,0.5044277906417847,0.38962480425834656,Blue
0.75588059425354,0.6114790439605713,0.24119609594345093,0.5259664058685303,0.6400255560874939,Red,0.24411943554878235,0.3885209858417511,0.7588039040565491,0.47403356432914734,0.3599744439125061,Red
0.3628026843070984,0.6534403562545776,0.532529354095459,0.2970271110534668,0.3788641691207886,Blue,0.6371973156929016,0.3465596139431,0.4674706757068634,0.7029728889465332,0.6211358308792114,Red
0.3910263776779175,0.5658462643623352,0.403428852558136,0.49577468633651733,0.5738259553909302,Red,0.6089736223220825,0.4341537356376648,0.596571147441864,0.5042253136634827,0.42617401480674744,Red
0.5735799074172974,0.41417962312698364,0.4487829804420471,0.14968019723892212,0.5499686002731323,Red,0.426420122385025,0.5858203768730164,0.5512170195579529,0.8503198027610779,0.4500313699245453,Red
0.7089636325836182,0.6298812627792358,0.38274073600769043,0.6855059862136841,0.541845977306366,Red,0.29103636741638184,0.37011876702308655,0.6172592639923096,0.31449398398399353,0.45815402269363403,Blue
0.3962145447731018,0.5971498489379883,0.5320732593536377,0.501288890838623,0.4342989921569824,Blue,0.6037854552268982,0.40285012125968933,0.4679267108440399,0.49871110916137695,0.5657010078430176,Blue
0.32433104515075684,0.6132480502128601,0.29243940114974976,0.4842587113380432,0.4570409059524536,Red,0.6756689548492432,0.3867519497871399,0.7075605988502502,0.5157412886619568,0.5429590940475464,Blue
0.48114168643951416,0.46062177419662476,0.48050224781036377,0.3534626364707947,0.46321386098861694,Red,0.5188583135604858,0.5393782258033752,0.5194977521896362,0.6465373635292053,0.5367861390113831,Blue
0.7593976259231567,0.33448225259780884,0.5346655249595642,0.495394766330719,0.5530650615692139,Red,0.24060238897800446,0.6655177474021912,0.4653344750404358,0.504605233669281,0.44693490862846375,Blue
0.6554691791534424,0.5090276598930359,0.5360636711120605,0.5387026071548462,0.46185725927352905,Red,0.34453079104423523,0.4909723401069641,0.46393632888793945,0.4612973928451538,0.538142740726471,Blue
0.36429470777511597,0.6756523251533508,0.6111588478088379,0.7177674770355225,0.5878185033798218,Blue,0.635705292224884,0.32434767484664917,0.3888411521911621,0.28223249316215515,0.4121814966201782,Red
0.44369596242904663,0.4235838055610657,0.4444662928581238,0.29465603828430176,0.47867196798324585,Blue,0.5563040375709534,0.5764161944389343,0.5555337071418762,0.7053439617156982,0.5213280320167542,Blue
0.29489654302597046,0.4019315838813782,0.274177610874176,0.18784260749816895,0.43177855014801025,Blue,0.7051034569740295,0.5980684161186218,0.725822389125824,0.812157392501831,0.5682214498519897,Red
0.6725677847862244,0.5553420186042786,0.6322392225265503,0.7497302293777466,0.6917896270751953,Red,0.32743221521377563,0.44465798139572144,0.3677607476711273,0.2502697706222534,0.3082103431224823,Red
0.7435833215713501,0.34604740142822266,0.2865210175514221,0.3845793604850769,0.5115922093391418,Red,0.2564166486263275,0.6539525985717773,0.7134789824485779,0.6154206395149231,0.48840779066085815,Blue
0.25481754541397095,0.49017512798309326,0.33390671014785767,0.31772077083587646,0.3776545524597168,Red,0.745182454586029,0.5098248720169067,0.6660932898521423,0.6822792291641235,0.6223454475402832,Blue
0.43476152420043945,0.3934805393218994,0.5326833724975586,0.576763391494751,0.5138412714004517,Blue,0.5652384757995605,0.6065194606781006,0.4673166275024414,0.42323657870292664,0.48615869879722595,Red
0.5090283155441284,0.39996498823165894,0.49337339401245117,0.4130435585975647,0.3362898826599121,Red,0.49097171425819397,0.6000350117683411,0.5066266059875488,0.5869564414024353,0.6637101173400879,Blue
0.38141047954559326,0.5153969526290894,0.4380754828453064,0.3217616677284241,0.4351615905761719,Red,0.6185895204544067,0.48460301756858826,0.5619245171546936,0.6782383322715759,0.5648384094238281,Red
0.5701173543930054,0.5161300301551819,0.3915613889694214,0.5859056115150452,0.4467466473579407,Blue,0.42988261580467224,0.4838699698448181,0.6084386110305786,0.41409438848495483,0.5532533526420593,Red
0.4011266827583313,0.5779116153717041,0.3807501792907715,0.5532387495040894,0.46960651874542236,Blue,0.5988733172416687,0.4220883846282959,0.6192498207092285,0.44676125049591064,0.5303934812545776,Red
0.35290879011154175,0.4556691646575928,0.3131548762321472,0.33683353662490845,0.4192870259284973,Red,0.6470912098884583,0.5443308353424072,0.6868451237678528,0.6631664633750916,0.5807129740715027,Red
0.4081469774246216,0.4913208484649658,0.5569276213645935,0.6901159286499023,0.5218720436096191,Blue,0.5918530225753784,0.5086791515350342,0.4430723786354065,0.30988407135009766,0.47812798619270325,Red
