player,firstdragon,infernals,mountains,clouds,oceans,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,dragonsdiff,elementaldrakesdiff,eldersdiff,heraldsdiff,baronsdiff,towersdiff,inhibitorsdiff
Lindarang,0.3112325689135125,0.3249530869053392,0.5361528437835335,1.0666676165156035,0.5708045996771043,0.34972427203472434,0.5044050835559528,0.8399288076462776,0.7935267259154319,0.809151711014324,0.004312147931598176,-0.08943403002969674,0.09374617796129492,-0.3005514559305513,-0.3818085225719319,-2.3108655352729093,-0.7199767059927715
SeongHwan,0.054135224280167996,0.05533291055355338,0.27351451685740463,0.04413223292840943,0.16043854389889997,0.5382674023978742,0.18694328187377413,0.04638337993715233,0.16009199477613623,0.16350965805050927,-2.5501558122390273,-2.549667296295735,-0.0004885159432923569,0.07677894544985575,-0.11045434982429975,-7.730550400855327,-1.750123739192929
Mickey,0.37897685659663716,0.02103618323055658,0.38391351723839795,0.17980960573552188,0.26666641474008657,0.8136143859639304,0.001037614201970368,0.25886535813804856,0.25903320679678743,0.009048463752307813,-1.6175766891966001,-1.6175766896076915,2.9467606154700826e-10,-0.35494025293669984,-0.8700096264982097,-9.012154684607195,-1.3890132658787404
Sangyoon,0.9033739159420022,0.7604084231425212,0.791542485421606,0.1623539185166103,0.15714855122952542,0.10879659607514322,0.02399489129767441,0.03360795120449358,0.2951435733803671,0.056862263772990314,-0.9353702528256305,-0.9527001826887114,0.017329929863080906,-1.1613130578497135,-1.2963444194476357,-8.472318933578306,-1.793615118034488
Key,0.2637224811525862,0.6645563244854337,0.6348762679311308,0.562603140252236,1.2300291147585105,0.851928595236663,0.14269217220464936,0.6036355083503565,0.5567547853739846,0.5567395258855207,1.5452152766386043,1.1087532316898923,0.436462044948712,0.703857190473326,0.13582862140527918,5.086353003953764,0.834529783171059
Smeb,0.4780042944772054,0.5092678219096218,0.5341604641003121,0.0049483925432170575,0.16452414001402693,0.229955468709357,0.17005996420884262,0.10492496568036414,0.10487441721719981,0.3549354533047724,-2.0852909078014865,-2.0852909002306252,-7.570861298988433e-09,-1.0969417739459129,-1.1612528075956272,-4.423609677656861,-1.1252215902249771
Score,0.10342032293571367,0.6650392750270929,0.5048447272875302,0.5366559105046067,0.04139748419424927,0.6172300124324299,0.914570187423609,0.7447626061052763,0.6646769689978123,0.6649211096241765,-0.3393944883710036,-0.8403858031306344,0.5009913147596308,0.23446002486485973,1.015548357674878,5.3067495573808365,0.773185137073956
PawN,0.6243574558369102,0.7285702399160724,0.5698783427615133,0.5402664253635144,0.06495129375893122,0.44651709519897065,0.2495105128838184,0.3158984120783833,0.11856030049789254,0.3704972130326949,-0.7769000590824897,-0.5269920868460183,-0.24990797223647143,-0.1069658096019227,-0.8712933356963442,-3.5394786827888964,-1.3611144036277913
Deft,0.7578394415164494,0.13140155726234026,0.7591095112823691,0.003312844969129182,0.04298049261595918,0.210279473201355,0.020138576211073855,0.01891914858174608,0.02013097662703322,0.02111504884617309,-2.5251085441581553,-2.529991356425324,0.004882812267168468,-1.537103764411935,-0.6851676413871115,-9.662435652422085,-1.9837859494870071
Mata,0.767399655799522,0.5810690901857518,0.5804151182388311,0.07151202603703191,1.1748058740202538,0.4475565659339473,0.01587840860257753,0.3361867081366613,0.06577287929745115,0.0805410029277981,0.5440586399646954,-0.2062758612925195,0.7503345012572149,-0.1048868681321054,-1.1246392104236382,-2.5521674505826173,-0.2684464647195248
Expession,0.20038290434865758,0.1957099605425583,0.2832651589123998,0.00018519307798214868,0.5885051708413584,3.026798367500305e-08,0.0793155894954225,0.18931830178792097,0.22125460456845758,0.1109488780986112,-2.2938310010898704,-2.029182714289959,-0.13964828679991115,-0.750000219559297,-0.2502499398266309,-5.413626280313338,-1.834922767939247
Crash,0.004541062366253498,2.389037604279276e-05,3.45782664687988e-05,2.260657690211776e-08,7.183901011247051e-05,0.6884765625036948,0.07032218207879583,0.1884996726442612,0.18801528986872174,0.188978387314221,-0.0002800086671252283,-0.00024770296805297354,-1.704691000975478e-05,0.6660461425513233,-0.9151916809008578,-6.816212600864296,-0.9704388333456957
Fly,0.06324888127085178,0.2510483346374897,0.10818720740799052,0.12904859951265935,0.0024431168576967803,0.16140824989330294,0.16141678090318393,0.13211989836566235,0.16239715827682238,0.1594636486580942,-2.4668793509595788,-2.4668793509611704,1.591622666996528e-12,-1.4168488652833309,-0.6768173392650936,-6.221735667741777,-0.6207320612520677
PraY,0.10342037881917987,0.6650390691414318,0.5048447866667196,0.536655560370513,0.04139782215225973,0.6172310286034126,0.9145704611779872,0.7447625456602789,0.6646767949291914,0.6649209355541923,-0.33939710007012625,-0.8403884286931714,0.5009913286230523,0.23446205720693958,1.0155496488371787,5.3067399925947,0.7731792741426914
GorillA,0.8810332513649588,0.19206270953878954,1.015747146317473,1.1017663800313842,0.9394629263591157,0.5695125604843063,0.32438693757362197,0.5665672714694393,0.9416279744197952,0.812660662721073,2.360219173301706,2.3601586149825575,6.0558319148640294e-05,0.287906070972315,0.11667706481091547,3.8041823478894274,0.6573273649526827
CuVee,0.7397290697158718,0.5207330084582514,0.32823469490181706,0.7113685775560747,0.7259658812604715,0.19280809318895661,0.1446610770680298,0.19143498779755716,0.14864649717003464,0.1252089965296436,-0.11861908712335634,-0.11801636489592937,-0.0006027222274269657,-1.0748966429213975,-0.8351447214937109,-4.926051878081254,-1.1901346229176053
