gamenum,position,R_firstdragon,R_infernals,R_mountains,R_clouds,R_oceans,R_firstherald,R_firstbaron,R_firsttower,R_firstmidtower,R_firsttothreetowers,R_dragonsdiff,R_elementaldrakesdiff,R_eldersdiff,R_heraldsdiff,R_baronsdiff,R_towersdiff,R_inhibitorsdiff,B_firstdragon,B_infernals,B_mountains,B_clouds,B_oceans,B_firstherald,B_firstbaron,B_firsttower,B_firstmidtower,B_firsttothreetowers,B_elementaldrakesdiff,B_eldersdiff,B_heraldsdiff,B_baronsdiff,B_towersdiff,B_inhibitorsdiff,res
0,0.37133824777673397,0.5014039244160815,0.4092864053309029,1.0142937934722331,0.0019220004255517918,0.06267547607421897,0.2744862063341176,0.7284736707697308,0.770217318200366,0.2516665682087338,-0.16897375476888427,-0.1955844980286569,0.02661074325977266,0.06267547584866426,-0.1593970998970331,-4.5908880949083635,-1.250771217103836,0.6286597909049767,0.3028544837725365,0.7521059481723571,0.7294099127393424,0.5147722399631225,0.03417587280273439,0.5317973609774078,0.045537894867948625,0.22977090242783071,0.6514722763529341,0.23347264028903908,0.2923868045374949,-0.05891416424845576,0.03417586919385921,-0.09888687570622695,3.654442625698873,0.8309780546398661,Red
1,0.020560737932441498,0.002125264552997986,0.5538477032531789,0.1543015377939162,0.26062762920570415,0.0226593615298043,0.2790450091230453,0.14342890117041662,0.42271103402835675,0.39341366449982473,-0.9318534555184886,-1.202861495575426,0.27100804005693746,-0.4460906384701959,-1.054603847882366,-1.978466001403899,-0.769901157160966,0.8085268770788105,1.0009842423004949,0.8701169510898096,0.0097033781146171,0.660252823612442,0.8398437825926521,0.9513719385121927,0.7834983306292485,0.8002297685345673,0.7979108347628368,2.4433567366339113,2.331083338152699,0.11227339848121237,0.8393707601317112,1.4743544112330669,8.597692636911988,2.7412150678425355,Blue
2,0.2623612730603888,0.6611992270172812,0.09933899072666184,0.053650048056059885,0.21224617591267825,0.0007081050478063844,0.6210248440350952,0.5679587156615755,0.09670581356338614,0.2652238645156195,-0.5100774517349528,-0.7470620779867321,0.2369846262517793,-0.09597158245219362,0.3073756610036761,-1.607725500043872,0.040881995088719814,0.6912820899087129,0.27346825757189047,0.7083434984715565,0.9841899493160817,0.02063290073788881,0.05651855570602038,0.650335841828506,0.8721405728321641,0.8878001490167052,0.6304034635863387,0.4850463042698097,0.4664010418172718,0.018645262452537885,-0.42787122624588403,0.9542767003510333,1.3887950824034996,0.43380750212007924,Red
3,0.8255816022831372,0.14175622584429004,0.8280555153352082,0.49361992337675187,0.4910076929972712,0.01515884703274395,0.3297097607510967,0.44157683486442423,0.9187935410488558,0.3110226207661131,-0.29596921724171726,0.17343165381291462,-0.4694008710546319,-0.714424893201631,-0.5050429480936351,-3.849557828126371,-1.2777751720284776,0.26964944030964727,0.8605966642991216,0.12565135932723615,0.06688874841612755,0.491367434398059,0.32989120486581314,0.8362409638071409,0.8070395491510052,0.10660117653177204,0.5465555769870731,-0.14133644361656844,-0.6507081705682103,0.5093717269516418,0.21123839917981613,0.8699090375109698,1.2040443775751093,0.8975896875662525,Blue
4,0.9610418277366046,0.0010844787361760644,1.4236602104641944,0.4744505565657976,0.2606418532158177,1.4803561555414013e-05,0.7126938083601084,0.47439973323717227,0.4095886655674305,0.4704880591999669,0.8218240046706624,0.8487716617713017,-0.02694765710063929,-0.0006976805597672178,0.8045910225116273,4.70186810758972,1.239017065261691,0.3767892084378024,0.9847271451799796,0.028504054061843004,0.8288006726058751,0.30321422601015435,0.00032215937975177064,0.2713854892224679,0.8314155659659678,0.7512637706802068,0.7706143120869015,0.6091149058167806,0.5499626873334295,0.05915221848335121,0.0002062874991990392,-0.17700692476805568,-0.5229330621312743,-0.45133292022698607,Red
5,0.609245402175524,0.002839193826890797,0.03355582051803144,0.6257990239810213,0.24433412290353107,1.4456603081458997e-08,0.12746600957847667,0.15845278294261442,0.15744344596246818,0.15844896294843747,-1.6065277597610639,-1.3936413362678015,-0.21288642349326234,-0.0018927711724216476,-1.3653031337670785,-6.854234015519932,-2.7375900712253305,0.05334647383636504,0.046371803852714825,0.03219336333404477,0.3262488287818417,1.014456263892588,3.146087692888385e-07,0.5830286967668188,0.6006044097323886,0.5853894177448049,0.6005450335078973,-0.1129305518497883,-0.08460697003190094,-0.028323581817887352,-0.030273236047364063,0.8834330987062812,2.5159688153690123,1.6608141280075908,Blue
6,0.47314048131798514,8.87248070903374e-05,0.4854236193911885,0.04982965699940692,0.03790887884073535,4.5176884629559366e-10,0.0948036252993274,0.3985063369669567,0.2773810451863271,0.27741246759213867,-1.5033289924925333,-1.375582541758369,-0.12774645073416446,-0.7266216490991382,-0.7389547854302212,-7.8733745004849975,-2.3560575022257915,0.6601143429323864,0.49339247824539734,0.001006042604188899,0.4113183227744326,0.6598755863716433,9.831524040276204e-09,0.1468817561489631,0.41989193467913716,0.38157466930452516,0.3896166416721218,-0.6922497828703059,-0.7216381084384969,0.029388325568191022,-0.000946038626480127,-1.0395313875404288,-2.2372939432697185,-0.6822304178747628,Blue
7,0.828384272853687,0.24597445233772158,0.9839194881059746,0.6864937002187315,0.315271566526273,1.4117776446737302e-11,0.551668667978104,0.6973898464677174,0.6746837826620727,0.6784689442997544,1.0617856174221083,1.050640975257551,0.01114464216455736,-0.022706926534348068,-0.0722866729821944,1.9866230624848438,0.04368277336794402,0.24767935446663708,0.015418514945168667,0.2422189388313809,0.02799041633670102,0.03575783082411385,3.0723512625863136e-10,0.050000211129655095,0.20989896670872304,0.1481546771657664,0.1484059888022538,-2.201320305714697,-2.141691815888703,-0.05962848982599403,-0.3633108137070775,-0.8650048871106384,-7.290130279477179,-1.6409486068085863,Red
8,0.4951252897766777,0.0076867016355537995,1.2265482652533117,0.23336699063183536,1.0996959864539462,4.411805139605407e-13,0.8497591771243158,0.7332192139521162,0.7022362119581897,0.7326279357593674,1.395485488044441,1.4102739367267985,-0.014788448682357583,-0.0007095914541983771,1.3600457289693064,4.345773376952652,1.1063455554177484,0.2909431048270824,0.12792323484203652,0.3474130918384807,0.3407184505105219,0.6949650884632536,0.4672851562596011,0.24228516284780172,0.020719498959647593,0.1037509274114302,0.3020009684000704,-0.4227951658035843,-0.39261146299652194,-0.030183702807062313,0.45593169332165384,-0.9899220277222074,-1.686312664983662,-0.5610452689627683,Red
9,0.6297304778055212,0.07274997505111105,0.231689008289166,1.1069020934572449,0.42914089020168583,0.26586914062501377,0.16351786491013487,0.03096974106100363,0.07834136599869343,0.19208407611748024,-0.1578070941236112,-0.14123167385228755,-0.016575420271323672,0.2658469658920563,-0.9584751334697091,-5.67840356634523,-1.6148407638931954,0.24371111265084633,0.48837260108881364,0.6087570497449526,0.6009794828284538,0.5666395340144766,0.014602661133112534,0.9082061769639937,0.840735374967489,0.8281933883566072,0.8495254208875023,0.667939994818638,0.6764515949063588,-0.008511600087720696,0.014247865416301683,1.134592280383681,7.417273432344261,1.9880825697199134,Red
