player,firstdragon,infernals,mountains,clouds,oceans,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,dragonsdiff,elementaldrakesdiff,eldersdiff,heraldsdiff,baronsdiff,towersdiff,inhibitorsdiff
iBreak,0.6875,1.125,0.375,0.0,0.25,0.125,0.125,0.625,0.625,0.125,-0.0625,-0.0625,0.0,-0.6875,-0.6875,-6.25,-1.6875
Dassler,0.6875,1.125,0.375,0.0,0.25,0.125,0.125,0.625,0.625,0.125,-0.0625,-0.0625,0.0,-0.6875,-0.6875,-6.25,-1.6875
Schneizel,0.6875,1.125,0.375,0.0,0.25,0.125,0.125,0.625,0.625,0.125,-0.0625,-0.0625,0.0,-0.6875,-0.6875,-6.25,-1.6875
Kbstible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,-0.5,-0.5,-4.5,-1.0
Lhazurt,0.125,0.125,0.0,0.625,0.0625,0.0,0.625,0.5,0.9375,0.5625,-1.78125,-1.71875,-0.0625,-0.9375,0.21875,2.0625,-0.125
Cogcog,0.61396783708279,0.5109702518836495,0.13427785156818933,0.16163277720011515,0.7973983963165738,0.5091971193921594,0.02515197308961024,0.1228064967013202,0.017341501793954033,0.587653998999973,-0.44603562643796857,-0.38353181175525486,-0.06250381468271377,0.01839805348158441,-0.9761376259168091,-4.314864980364369,-0.9730791642481642
E hi,0.536815732717514,0.07044681906700134,0.2545281797647476,0.26673901081085205,0.5113563537597656,0.2955959588289261,0.27216731011867523,0.3385988175868988,0.2526310533285141,0.31513844430446625,-0.5193679630756378,-0.5154583752155304,-0.003909587860107422,-0.40856389701366425,-0.2178032547235489,-3.4723687022924423,-0.15163099765777588
Keymaker,0.741335839622936,0.37756783620792,0.28712774872110547,0.6823989157607011,0.14808312454988665,0.9090670960730389,0.4979761864349622,0.24867818121197993,0.476524297039572,0.22652429564255638,-0.8542195572985971,-1.098848463555873,0.24658203125727596,0.8220404421460777,-0.019779437653156928,-1.9665774639369342,-0.537020424714378
Reiya,0.49202751178380766,0.40970145474481345,0.47077964347084933,0.7773678422242085,0.39099124214975245,0.08415429935521157,0.4590258320428946,0.4599752789215109,0.36621955314075816,0.46004584709404117,0.1619070166908847,0.1658427412459338,-0.003935724555049092,-0.8238788928494657,0.29744613246039375,-1.0075247236702927,-0.19218017999657455
Mia,0.89453125,0.015625,0.75390625,0.0078125,0.91796875,0.921875,0.19140625,0.4609375,0.4453125,0.3828125,-1.189453125,-1.142578125,-0.046875,0.853515625,-1.328125,-3.345703125,-1.640625
Bugi,0.5487332666994229,0.1429640238695324,0.019081281570869968,0.11793915568121366,1.2512360406162786,0.4145677909343711,0.15572319455490255,0.7898836014825317,0.29585694569811327,0.04683494057942347,-1.5095253406286069,-1.0085488973949104,-0.5004881619838102,-0.17086060337390407,-0.6010821404837301,-4.41252011835488,-1.28566953721148
Roki,0.6139675332051363,0.5109592021038522,0.13429271480183094,0.1616317093506297,0.7974062122003648,0.5091920750621276,0.025147662572961,0.1228146734573376,0.01734687526422679,0.587659375268212,-0.4460016193706222,-0.3835083397652165,-0.06249327960540574,0.018385108018627083,-0.9761477108999307,-4.314839956592224,-0.9730718252277791
nororin,0.3125,0.25,0.0625,0.125,0.6875,0.75,0.0625,0.375,0.125,0.125,-2.03125,-1.28125,-0.75,0.65625,-2.25,-3.53125,-1.25
Rockky,0.1961209774017334,0.12501096725463867,0.049685001373291016,0.28182222321629524,0.004244230687618256,0.6261895075440407,0.039669401943683624,0.19116153568029404,0.4377433620393276,0.00048771128058433533,-1.3641134202480316,-1.3709512576460838,0.006837837398052216,0.3229662999510765,-0.9113788418471813,-8.33178735896945,-2.0531867519021034
InTreso,0.13793563842773438,0.00017547607421875,0.7949600219726562,0.5091555714607239,0.06790769100189209,0.01903212070465088,0.634710431098938,0.05858457088470459,0.0038937926292419434,0.007803380489349365,-0.8258147239685059,-0.9352201223373413,0.10940539836883545,-0.8325392007827759,0.4179385304450989,1.6914022564888,0.14901196956634521
Ares,0.75,0.5,0.5,0.01953125,0.3984375,0.2890625,0.3828125,0.3984375,0.18359375,0.40234375,0.40625,0.4140625,-0.0078125,-0.2890625,0.01953125,-1.26171875,-0.3515625
JLC,0.02203369140625,0.0010986328125,0.01617431640625,0.012451171875,0.00390625,0.0418701171875,0.01031494140625,0.13555908203125,0.01025390625,0.01025390625,-1.601318359375,-1.6024169921875,0.0010986328125,-0.9161376953125,-0.72601318359375,-9.95391845703125,-2.9759521484375
Kupz,0.02203369140625,0.0010986328125,0.01617431640625,0.012451171875,0.00390625,0.0418701171875,0.01031494140625,0.13555908203125,0.01025390625,0.01025390625,-1.601318359375,-1.6024169921875,0.0010986328125,-0.9161376953125,-0.72601318359375,-9.95391845703125,-2.9759521484375
Trebor,0.02203369140625,0.0010986328125,0.01617431640625,0.012451171875,0.00390625,0.0418701171875,0.01031494140625,0.13555908203125,0.01025390625,0.01025390625,-1.601318359375,-1.6024169921875,0.0010986328125,-0.9161376953125,-0.72601318359375,-9.95391845703125,-2.9759521484375
Marky,0.02203369140625,0.0010986328125,0.01617431640625,0.012451171875,0.00390625,0.0418701171875,0.01031494140625,0.13555908203125,0.01025390625,0.01025390625,-1.601318359375,-1.6024169921875,0.0010986328125,-0.9161376953125,-0.72601318359375,-9.95391845703125,-2.9759521484375
Raux,0.02203369140625,0.0010986328125,0.01617431640625,0.012451171875,0.00390625,0.0418701171875,0.01031494140625,0.13555908203125,0.01025390625,0.01025390625,-1.601318359375,-1.6024169921875,0.0010986328125,-0.9161376953125,-0.72601318359375,-9.95391845703125,-2.9759521484375
Ren,0.10110611931304447,0.13378936826484278,0.026506666996283457,0.03809459158219397,0.06350958402617835,0.17676304031920154,0.200921368697891,0.24773205815290567,0.22380776502541266,0.23210473169456236,-1.7474959915707586,-1.7240584915707586,-0.0234375,-0.5838289589883061,-0.7639276750123827,-5.144479458191199,-1.5867087125952821
Venus,0.3841587833632932,1.1426587539041935,0.6887246462283683,0.6253930334988811,0.016190605162210492,0.9648086758406851,0.806457649812691,0.7059006149861378,0.15217417549796472,0.1502248698793554,1.1435722256338632,1.142595663132037,0.0009765625018225421,0.9296173516813709,1.0045033292021452,1.0393242756634327,0.45009958351385193
