player,firstbloodkill,firstbloodvictim,dpm,damageshare,wpm,wcpm,earned_gpm,cspm,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,kd,apm,mkoj_pm,mkej_pm
Kikis,0.002075202997730341,0.5634803920984269,269.70104657803313,0.16255133924594517,0.7325077529321802,0.3869323399550445,168.75611656154314,4.77875223575222,3170.9056192203902,55.50078077476244,-192.89293592113535,11.847037628907401,2.6675484048805176,5090.125432637837,77.25283925331314,-224.70330598079943,-659.4139663806588,-7.020148671861009,0.7003559266943782,0.13844889906435498,2.568094374217674,0.17612230123329964
Broxah,6.263145869645047e-08,9.75781955236954e-19,335.0609956278235,0.17061472894779292,0.3890595086176537,0.31764927846406665,232.4119970568164,5.660915051001133,3398.333017508125,59.44298462692959,590.9380999401274,409.60927693132413,7.044195982563927,5268.7039702090715,87.22758930637434,833.5728184027619,249.49084794984128,7.904856951913814,2.5285328127730224,0.1878134273050452,2.8339173446103936,0.994169174795682
Nisqy,0.12527471920850575,1.9073488601861754e-06,526.7207067549034,0.26072128279813667,0.4784171787233005,0.14484564996633373,289.4277866493819,8.145538102570999,4611.2628374191145,81.8291208093851,-234.30507525339644,-189.20328812472525,-6.247544994158043,7737.682084046444,130.93393564179812,-120.44053250793246,72.76442289434974,-11.89252236749228,4.541529189994392,0.22216428251762116,0.42465209605857923,0.08624721375020665
MrRallez,1.4094628242311558e-17,0.0,286.2183260661252,0.20227684519485145,0.32104311687909837,0.16563382653075842,234.751309860635,9.435697063082014,3463.4928624115887,96.9249908527551,119.20008085410775,247.14667247631587,6.632978477282293,5434.051341159246,146.08880021649884,38.97767809958401,290.0580524138133,5.4112709200118925,0.2848982011256894,0.08053601689921495,0.2651846456449672,2.96262091293533e-05
Klaj,0.06250000000005684,0.1250079013989307,98.92166681378515,0.06542183153122162,1.6930317585429053,0.4468238446169234,109.38003802818845,1.6589082726119981,2748.866905793023,15.233433243947912,114.65338998263081,72.87593674848645,2.074647452763857,4027.996163765764,23.715869019127524,167.78382914585893,-41.54646643357532,-0.3887096328238897,0.2740725129810549,0.1735427104903127,3.0517614504788074e-07,1.035641617335159e-06
Phones,0.2500152737047756,0.0005191601815113245,372.57957508554387,0.2107224623068496,0.5600400365498245,0.1879608997713642,223.8076276222315,8.47385418598223,4641.115388940627,85.07853319866899,270.7762484734285,-10.346517114509425,-0.1301340800239359,7204.945155470913,127.46371219488537,-203.86761439755537,-92.55532828410787,-3.1566321767729733,0.9860731016307072,0.021021796283873753,0.029013830341607445,0.00875099418645732
Obvious,0.001960769295692444,4.76837158203125e-07,298.81066562346575,0.1542313163638359,0.6549304908487945,0.20762653508707882,186.280716583186,4.036316803093813,3361.2336587533355,42.4613540712744,192.69678451865911,290.0409933179617,2.1184777691960335,5457.162944575772,68.2481692917645,11.213352071121335,337.35175969451666,-0.40576888248324394,0.6655405752658844,0.14317964278161527,2.045033751912415,1.2441246259585022
MagiFelix,0.01562507474318764,1.0477378964424133e-09,575.3484478876704,0.3181575371323849,0.35864936531922514,0.22339555317203577,248.27661465408613,8.351661074515853,4495.872160192944,80.61946949684891,-66.22067860418403,-238.81415212848378,-4.5094864601029485,6853.374316922155,118.96357871129814,-467.01154976670176,-939.2745864362483,-24.735296972143544,0.7104021177384258,0.1586853154069544,0.44219631647725693,0.01878779828700125
Sedrion,0.10937786102294922,0.0,366.6213742235691,0.2089758702662587,0.4247678714573383,0.26774353524446487,265.2151041735798,9.301175061544775,3245.279029726982,88.80341267585754,455.1040699183941,394.09999972581863,15.585498690605164,5212.572200417519,139.28617465496063,331.45377692580223,445.04037296772003,14.59397777915001,1.3142603040099143,0.1524271351099014,0.418173665702343,0.08698765158653259
Noxiak,0.25000762939453125,0.0020751953125,118.78363183193207,0.07285259073905945,1.2583495567321776,0.4815421863555908,102.21621296882628,1.7072964277267455,2817.721221923828,13.505752563476562,-44.7977180480957,151.01788520812988,3.150911331176758,4064.8065128326416,21.981271743774414,-55.300987243652344,-94.23650550842285,6.726715087890625,0.4698028648376465,0.05911750793457031,6.103515625e-07,1.068115234375e-06
FearlessS,0.0,0.625,462.528865625,0.18137303124999998,0.395928125,0.10716250000000001,231.707675,7.190359375,4042.34375,61.6875,-501.90625,-129.125,-6.28125,6535.5625,102.28125,-879.8125,-620.0,-15.625,0.71513125,0.1721875,0.0446875,0.1334375
ReAt1vo,0.3126373291015625,0.015625,248.73168342185022,0.13806937277331352,0.54219304728508,0.15533651771545412,161.46715146684647,4.27673560347557,3142.56121969223,44.83261013031006,-333.6785397529602,-697.5683059692383,-16.11485719680786,5455.225724220276,72.70310831069946,-516.720648765564,-468.14573669433594,-17.05169153213501,0.875416858291626,0.14565658569335938,2.594024519920349,0.06660675048828125
Aziado,0.0,0.0,592.0112465820312,0.2848039560546875,0.4988140625,0.16730634765625,231.98781787109374,9.034533300781248,4822.529296875,91.0068359375,-151.0400390625,-250.2705078125,-5.734375,7339.15625,140.140625,-275.3447265625,-514.763671875,-14.103515625,0.925065234375,0.064794921875,0.73158203125,0.0383984375
Alternative,0.2500162273645401,0.0010380754247307777,467.06800031072635,0.29162428043517796,0.45598944941386577,0.16868603646471164,297.9335963138708,8.928337711355788,3318.7359111332335,89.03709689993411,606.560506935697,212.93983316747472,6.830598751548678,5252.121243354864,137.8809893685393,829.7516356343403,376.03412268916145,8.130016569979489,3.258651119951997,0.10900306284893305,0.5563912096805871,0.19250239606946706
Slayer,0.25,0.03125,320.6431,0.11876462812500001,1.13251875,0.29465,195.95293750000002,1.539025,2514.09375,6.15625,76.9375,182.65625,-9.3125,4305.53125,9.0,488.40625,943.0625,-9.46875,0.96025,0.33499999999999996,0.105,0.0
Arin,0.0625,0.0,236.88446213378904,0.1288741737548828,0.5782203247070312,0.11153345947265625,182.23288942871093,6.933153039550781,4350.6868896484375,71.1343994140625,-79.9210205078125,119.76611328125,-6.0657958984375,6545.334716796875,109.2764892578125,-449.034423828125,-264.860595703125,-15.1083984375,0.2252607421875,0.06761962890625,0.036386718750000005,0.065316162109375
Pride,0.06250762940908673,1.0170060731340426e-06,545.7322759930079,0.24767751438563687,0.38656612298431925,0.3431404436915138,321.59958006982913,6.385024039750125,3598.0907447572513,60.13232692887233,60.24714824090137,129.21253011605413,1.8093634728503334,6147.260854825487,95.47859817032851,352.68433023192733,215.72487570733705,8.55869103226031,7.1231010268459025,0.31564882265364247,3.485302854133319,0.4778711700724516
Larssen,3.0994415340046544e-05,0.00024415553343715146,332.89255427781814,0.21311332095305535,0.4079250940340067,0.14359279019415314,262.3673487968223,9.854071444405745,4896.340454089161,91.90005459697792,223.74180073681376,409.78000000733914,9.993542204129199,7660.147224960861,145.67751659678225,326.8688913591518,366.476818452734,7.458914395295665,1.8991728547155498,0.05879778092519132,0.43258264365645627,0.028008283093384705
SMILEY,0.5625,0.27246105670928955,440.2343504925667,0.2890839897682518,0.37851070304568857,0.41924250076934694,262.9455071989897,9.516567686716654,3139.3385482393205,83.79339715559036,-34.733494066633284,85.03580593224615,-3.5640078810974956,5393.5354965487495,137.80501497443765,139.69043751247227,289.5582548910752,-3.539128128439188,0.6745824427850544,0.10169962153770029,0.22329920360818506,0.0045742419734597205
Hadow,0.0,0.03125,123.58483618469238,0.06851514204101562,1.4557362701416015,0.21544255981445312,86.56190957031251,1.5197041900634765,2779.18701171875,12.600982666015625,48.13482666015625,-140.41976928710938,1.3309326171875,4386.228057861328,21.649810791015625,25.421722412109375,-48.01348876953125,0.224578857421875,0.08816846313476562,0.13900604248046874,0.0,3.662109375e-05
Unknown,0.0,0.5,445.3965375,0.21486125,0.4102625,0.12003749999999999,211.32583125000002,7.2867375,4083.6875,68.8125,-1070.25,-292.875,-0.75,6272.75,109.5,-1740.75,-1130.6875,-15.9375,0.9,0.206875,0.10625,0.4275
t4nky,8.599374268669635e-06,0.2520160675048828,201.780747024078,0.13439400321164707,0.5282568891768582,0.2794231003919422,158.8072359482213,4.421157191057332,2965.5950542254964,47.643172078661905,-472.4084478012252,-876.5821210224108,-17.62078736295348,4996.152868203256,69.78045607483602,-1289.9173656612177,-1207.1183092919205,-27.355248259581344,0.43054659592098166,0.10955457243191348,2.79229934346636,0.11699215928734873
Matislaw,0.0625,0.0,560.0711,0.2583381875,0.3515375,0.12755624999999998,225.6016125,6.5629875,3928.4375,64.6875,-227.375,-31.1875,-6.6875,6131.125,106.0,-770.0,-392.625,-3.9375,1.187525,0.15187499999999998,0.15125,0.01625
Puki Style,0.0,0.25,487.24260625,0.2289145625,0.24834375,0.08384375,220.640875,6.76851875,2949.25,68.25,-510.8125,-6.1875,-5.1875,4994.875,105.6875,-891.3125,-162.9375,-7.25,0.79375,0.153125,0.21937500000000001,0.12625
Mystiques,0.0,0.1328125,146.0213109375,0.100595791796875,1.033473046875,0.27763671875,116.52976640624999,0.6650734375,2453.70703125,3.2109375,-45.8046875,-259.53125,-10.38671875,4153.6171875,6.859375,197.04296875,-464.57421875,-21.60546875,0.6063984375,0.1801171875,0.00046875,0.0009375
Ruin,0.06250001117587156,0.0010082877861634645,528.5053336865376,0.2598497287671817,0.5034336817552791,0.14722182477883256,361.2373961548392,10.039649202217003,4826.340124768802,89.07788354624498,562.2763344466057,505.41155964300293,17.671843474203605,7451.395720595774,133.27759351545393,1127.3468303420952,944.8759800002546,29.344126458311845,3.4902633111694827,0.25513271221156475,0.5530538678038721,0.5334831795185621
Memento,0.812570814771334,4.7702424836870705e-06,175.14381638107528,0.1395296495637201,1.0082051332100115,0.4373071779358788,184.24222476061607,4.760241494169875,3029.054486906429,52.19687689250481,199.0770650801191,-239.48692799604976,-5.011414122390283,5415.416528927542,82.18124538522771,9.75045375593335,-266.6395082176607,-1.8992329591729975,1.3113636595410347,0.18469631869234743,2.6850415915985515,0.4831287293704145
SuNo,0.0,0.0,317.16163359375,0.17537738281249998,0.431325,0.12973984375,215.42292656249998,7.8604921875,4613.28125,81.0625,185.890625,266.4921875,1.8203125,7376.625,134.7578125,180.734375,255.484375,3.7578125,1.00884609375,0.0615625,0.093671875,0.01828125
Achuu,0.1252441415603025,0.0001222081482410986,810.8015544153989,0.3194102319458535,0.5742606744400846,0.22548704710296885,369.15217292972466,9.7177053652068,3158.031389483884,88.86204715218364,289.1922539911189,-51.94070119134575,0.7780289600544399,5341.6080810935555,142.23908392863478,306.49438189474074,-131.13049561889244,-7.742018831522138,4.061312440995996,0.25750993272853784,0.4279217470910776,0.09955764241211575
Kaasbaas,0.0,0.25,111.49668234863282,0.060091330517578125,1.44643857421875,0.24626396484375002,106.34347565917969,1.540255078125,2661.312744140625,12.801025390625,15.7880859375,13.33642578125,-0.305908203125,3718.339111328125,22.075439453125,-248.104736328125,-246.934326171875,-1.930419921875,0.16015625,0.15095947265624998,0.0,0.000712890625
beansu,0.0,0.0,357.5192021484375,0.2107578828125,0.55058447265625,0.048255468749999995,216.456597265625,8.43800634765625,4464.8125,79.4951171875,167.0322265625,-68.5341796875,-1.8857421875,6942.8193359375,121.9599609375,74.7509765625,-39.015625,-1.396484375,0.16796875,0.022871093749999998,0.07162109375,0.014667968750000001
Taikki,1.7317479447000544e-05,0.0627441407707483,359.37674752534195,0.17415386536261335,0.38732111542406145,0.3059942945617905,210.9310878907475,4.778002088460223,3267.4278071363633,53.31877272542033,27.09108046016287,-12.019191750509052,-7.535927425075085,5387.047723167496,85.3027145844155,-536.8416417451782,-148.71988061266575,-3.3355290960538664,0.9821288506266804,0.2173656342690487,2.4607827474300907,0.3059332384037239
Jiizuke,0.03125011932570487,0.5000689090229574,361.26923303584965,0.3022762615631215,0.3813309061468029,0.11582998468542782,209.41940685212967,8.050972289241345,4329.9126737025745,72.75197550118145,-474.08282996347964,-274.77301164955463,-9.528189038413558,7084.992202879242,127.32962982303249,-479.2086543926627,-245.26692306660874,-9.049411104486005,0.6675927361704083,0.060117581228927346,0.4853994432176274,0.08523614997893839
Gari,0.017578125,0.0625,987.6340386867523,0.38640061469650266,0.3557432704925537,0.250828702545166,374.23118151474,9.84800650177002,3263.4556846618652,86.03621673583984,380.0766372680664,-8.000244140625,2.121959686279297,5408.348155975342,140.7565460205078,1197.851474761963,229.50030517578125,15.080249786376953,6.71793571472168,0.14826522827148436,0.6350021743774413,0.1945068359375
Mocha,4.768381245447151e-07,0.003967523603932932,73.18818072923354,0.04919595689226343,1.465179864541419,0.3056588102739384,76.34756822148599,0.6697953957425687,2813.1343896872995,2.85668932537343,-143.99781975202433,47.3361575225813,-1.9918295210511663,4147.018291750674,8.004714294368643,-69.23207614936851,165.23826893341283,-2.6960785819760353,0.0711688643519407,0.08637538128778512,1.1641532182693498e-11,6.938900944635958e-20
Atom,0.3754921564832756,0.03320503258328267,371.20315332335934,0.21357728473399779,0.5033304173763729,0.1058232714264152,233.2263847816634,7.943393338432579,4657.690181105167,80.29888204591973,-234.74683872506745,-197.81664339858764,-7.0226582068441,7252.546408705288,128.4280159722752,-512.9147372351772,-391.3422206836971,-17.836710454993415,0.41662929886015954,0.08712095164266162,0.20746632123741868,0.0028132164484861166
SezzeR,0.25,0.1875,535.105921875,0.16181837500000001,0.5768875,0.25521875,288.51809062499996,5.196484375000001,3639.53125,46.71875,-56.21875,-70.4375,4.03125,6270.3125,75.1875,138.125,393.8125,6.625,2.123065625,0.3065625,1.9340625,1.9096875
Godbro,0.031383633613814084,3.050087116207749e-08,619.5680307454036,0.29645207715229416,0.41491904934495416,0.13633585705187168,264.636658205287,7.778300459392085,4892.309182403831,95.56800573630497,79.70675082123805,33.91514286712095,2.6416923265404817,7641.185464332159,142.07501417693157,-11.950515496575022,230.94703791686817,4.3683256386053095,1.1050448835426119,0.24037446644703825,0.1778418503743499,0.0365785880394479
